name,stock,description,price,sale_discount,is_on_sale,image_url,sale_date_end
"Champagne - Brights, Dry",824,"Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo.",3.98,0.58,true,http://dummyimage.com/197x100.png/dddddd/000000,6/26/2023
"Cheese - Manchego, Spanish",149,Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh. In quis justo. Maecenas rhoncus aliquam lacus.,10.3,0.8,false,http://dummyimage.com/213x100.png/5fa2dd/ffffff,4/5/2024
Tomato Puree,545,"Suspendisse potenti. Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue. Vestibulum rutrum rutrum neque.",93.99,0.84,false,http://dummyimage.com/193x100.png/cc0000/ffffff,10/31/2023
Plastic Wrap,741,Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.,46.75,0.84,false,http://dummyimage.com/159x100.png/ff4444/ffffff,8/15/2024
Asparagus - Mexican,565,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia.",72.35,0.92,true,http://dummyimage.com/155x100.png/5fa2dd/ffffff,9/6/2023
Mace Ground,792,"Nunc rhoncus dui vel sem. Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci.",63.55,0.5,true,http://dummyimage.com/185x100.png/cc0000/ffffff,2/5/2024
"Crab - Back Fin Meat, Canned",129,"Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat. Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat. Praesent blandit.",88.37,0.27,false,http://dummyimage.com/203x100.png/ff4444/ffffff,1/4/2024
Cup - Paper 10oz 92959,615,Nulla mollis molestie lorem. Quisque ut erat. Curabitur gravida nisi at nibh.,18.46,0.92,true,http://dummyimage.com/202x100.png/ff4444/ffffff,12/23/2023
Cheese - Perron Cheddar,294,"Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",39.68,0.28,false,http://dummyimage.com/105x100.png/cc0000/ffffff,1/27/2024
"Beef - Outside, Round",35,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat. In congue. Etiam justo. Etiam pretium iaculis justo.",18.04,0.87,true,http://dummyimage.com/114x100.png/dddddd/000000,1/12/2024
